Data Scientist,,,,,,,,,,
Pay,,,"$108,020 per year",,,,,,,
Pay (per hour),,,$51.93 per hour,,,,,,,
Typical Entry-Level Education,,,Bachelor's degree,,,,,,,
Work Experience in a Related Occupation,,,None,,,,,,,
On-the-job Training,,,None,,,,,,,
"Number of Jobs, 2023",,,"202,900",,,,,,,
"Job Outlook, 2023-33",,,36% (Much faster than average),,,,,,,
"Employment Change, 2023-33",,,"73,100",,,,,,,
Location Quotient  ,,,DC,,,,,,,
Work Environment (physical),,,"office, remote, outside",,,,,,,
Work Environment (social),,,team or solo,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Rankings:,,,,,,,,,,
Quick Facts,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33","Click State/Area tab, then the job name, then scroll to the second graph","Click work environment tab, find info on remote/office, teams or alone",
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment
Data Scientist,108020,BS,None,None,202900,36,73100,DC,"office, remote, outside",team or solo
Lawyer,145760,JD,None,None,859000,5,44200,DC,"office, remote, outside",team or solo
Teacher (Elementary),63670,BS,None,None,1563700,-1,"-11,500",LA,school ,team or solo
Engineer (Mechanical) ,99510,BS,None,None,291900,11,32100,MI,"office, remote, worksite",team or solor
Physicians and Surgeons,239200,PhD,None,Internship/residency,834500,4,34500,PA,clinical and nonclincal,team or solo
Registered Nurse,86070,BS,None,None,3300100,6,197200,SD,"doctors office, school, etc",team or solo
Cashier,29720,N/A,None,Short-term training,3338800,-11,-353100,MS,"store, gas station",team or solo
,,,,,,,,,,
"I ranked the jobs with what I hope to do after I graduate. I took into account pay, workload, and location. Data scientist and lawyer were my top 2 because they had a high pay and were highly based in DC.",,,,,,,,,,
"I wasn't very surprised about the facts of these occupations. They were about what I expected them to be. However, I thought lawyer's median income would be higher. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
